are_cd,are_nm,rail_opr_istt_cd,ln_cd,ln_nm,prpr_stin_cd,stin_nm,tel_no
01,수도권,KR,1,1호선,0249,부평,032-528-1439
01,수도권,KR,1,1호선,0226,백운,032-524-7788
01,수도권,KR,1,1호선,0164,동암,032-421-7788
01,수도권,KR,1,1호선,0013,간석,032-427-7788
01,수도권,KR,1,1호선,0519,주안,032-865-7787
01,수도권,KR,1,1호선,0149,도화,032-863-1464
01,수도권,KR,1,1호선,0148,도원,032-773-7788
01,수도권,KR,1,1호선,0166,동인천,02-772-7788
01,수도권,KR,1,1호선,0004,가산디지털단지,02-2639-3345
01,수도권,KR,1,1호선,0063,광명,02-899-9270
01,수도권,KR,1,1호선,0303,석수,031-472-7788
01,수도권,KR,1,1호선,0059,관악,031-471-7788
01,수도권,KR,1,1호선,0390,안양,031-448-7788
01,수도권,KR,1,1호선,0200,명학,031-441-7788
01,수도권,KR,1,1호선,0083,군포,031-452-7788
01,수도권,KR,1,1호선,0469,의왕,031-461-7788
01,수도권,KR,1,1호선,0312,성균관대,031-293-7788
01,수도권,KR,1,1호선,0601,화서,031-242-7788
01,수도권,KR,1,1호선,0338,수원,031-253-2724
01,수도권,KR,1,1호선,0318,세류,031-238-3089
01,수도권,KR,1,1호선,0432,오산대,031-375-9354
01,수도권,KR,1,1호선,0331,송탄,031-666-7788
01,수도권,KR,1,1호선,0579,평택,031-652-0245
01,수도권,KR,1,1호선,0170,두정,041-562-7791
01,수도권,KR,1,1호선,0544,천안,041-562-7034
01,수도권,KR,1,1호선,0240,봉명,041-579-7432
01,수도권,KR,1,1호선,0381,쌍용,041-571-0364
01,수도권,KR,1,1호선,0382,아산,042-532-6610
01,수도권,KR,1,1호선,1356,탕정,041-548-6788
01,수도권,KR,1,1호선,0222,배방,041-531-9027
01,수도권,KR,1,1호선,0437,온양온천,041-541-0865
01,수도권,S1,2,2호선,0347,시청,02-6110-2011
01,수도권,S1,2,2호선,0564,충정로,02-6110-2431
01,수도권,S1,2,2호선,0386,아현,02-6110-2421
01,수도권,S1,2,2호선,0473,이대,02-6110-2411
01,수도권,S1,2,2호선,0366,신촌,02-6110-2401
01,수도권,S1,2,2호선,0596,홍대입구,02-6110-2391
01,수도권,S1,2,2호선,0591,합정,02-6110-2381
01,수도권,S1,2,2호선,0126,당산,02-6110-2371
01,수도권,S1,2,2호선,0421,영등포구청,02-6110-2361
01,수도권,S1,2,2호선,0206,문래,02-6110-2351
01,수도권,S1,2,2호선,0359,신도림,02-6110-2341
01,수도권,S1,2,2호선,0130,대림,02-6110-2331
01,수도권,S1,2,2호선,0070,구로디지털단지,02-6110-2321
01,수도권,S1,2,2호선,0357,신대방,02-6110-2311
01,수도권,S1,2,2호선,0361,신림,02-6110-2301
01,수도권,S1,2,2호선,0242,봉천,02-6110-2291
01,수도권,S1,2,2호선,0294,서울대입구,02-6110-2281
01,수도권,S1,2,2호선,0102,낙성대,02-6110-2271
01,수도권,S1,2,2호선,0257,사당,02-6110-2261
01,수도권,S1,2,2호선,0218,방배,02-6110-2251
01,수도권,S1,2,2호선,0298,서초,02-6110-2241
01,수도권,S1,2,2호선,0068,교대,02-6110-2231
01,수도권,S1,2,2호선,0017,강남,02-6110-2221
01,수도권,S1,2,2호선,0415,역삼,02-6110-2211
01,수도권,S1,2,2호선,0306,선릉,02-6110-2201
01,수도권,S1,2,2호선,0266,삼성,02-6110-2191
01,수도권,S1,2,2호선,0518,종합운동장,02-6110-2181
01,수도권,S1,2,2호선,0499,잠실새내,02-6110-2171
01,수도권,S1,2,2호선,0497,잠실,02-6110-2161
01,수도권,S1,2,2호선,0498,잠실나루,02-6110-2151
01,수도권,S1,2,2호선,0023,강변,02-6110-2141
01,수도권,S1,2,2호선,0076,구의,02-6110-2131
01,수도권,S1,2,2호선,0031,건대입구,02-6110-2121
01,수도권,S1,2,2호선,0314,성수,02-6110-2111
01,수도권,S1,2,2호선,0175,뚝섬,02-6110-2101
01,수도권,S1,2,2호선,0588,한양대,02-6110-2091
01,수도권,S1,2,2호선,0441,왕십리,02-6110-2081
01,수도권,S1,2,2호선,0279,상왕십리,02-6110-2071
01,수도권,S1,2,2호선,0356,신당,02-6110-2061
01,수도권,S1,2,2호선,0156,동대문역사문화공원,02-6110-2051
01,수도권,S1,2,2호선,0465,을지로4가,02-6110-2041
01,수도권,S1,2,2호선,0464,을지로3가,02-6110-2031
01,수도권,S1,2,2호선,0466,을지로입구,02-6110-2021
01,수도권,S1,2,2호선,0443,용답,02-6110-1341
01,수도권,S1,2,2호선,0355,신답,02-6110-1351
01,수도권,S1,2,2호선,0444,용두,02-6110-1361
01,수도권,S1,2,2호선,0367,신설동,02-6110-1371
01,수도권,S1,2,2호선,0144,도림천,02-6110-2441
01,수도권,S1,2,2호선,0404,양천구청,02-6110-2451
01,수도권,S1,2,2호선,0373,신정네거리,02-6110-2461
01,수도권,KR,3,3호선,0137,대화,031-917-7799
01,수도권,KR,3,3호선,0179,마두,031-901-7728
01,수도권,KR,3,3호선,0224,백석,031-901-7721
01,수도권,KR,3,3호선,0128,대곡,031-965-8516
01,수도권,KR,3,3호선,0036,원흥,031)965-7703
01,수도권,KR,3,3호선,0268,삼송,-
01,수도권,S1,3,3호선,0536,지축,02-6110-3191
01,수도권,S1,3,3호선,0078,구파발,02-6110-3201
01,수도권,S1,3,3호선,0418,연신내,02-6110-3211
01,수도권,S1,3,3호선,0255,불광,02-6110-3221
01,수도권,S1,3,3호선,0116,녹번,02-6110-3231
01,수도권,S1,3,3호선,0597,홍제,02-6110-3241
01,수도권,S1,3,3호선,0205,무악재,02-6110-3251
01,수도권,S1,3,3호선,0150,독립문,02-6110-3261
01,수도권,S1,3,3호선,0040,경복궁,02-6110-3271
01,수도권,S1,3,3호선,0387,안국,02-6110-3281
01,수도권,S1,3,3호선,0515,종로3가,02-6110-3291
01,수도권,S1,3,3호선,0464,을지로3가,02-6110-3301
01,수도권,S1,3,3호선,0563,충무로,02-6110-4231
01,수도권,S1,3,3호선,0157,동대입구,02-6110-3321
01,수도권,S1,3,3호선,0397,약수,02-6110-3331
01,수도권,S1,3,3호선,0093,금호,02-6110-3341
01,수도권,S1,3,3호선,0434,옥수,02-6110-3351
01,수도권,S1,3,3호선,0392,압구정,02-6110-3361
01,수도권,S1,3,3호선,0365,신사,02-6110-3371
01,수도권,S1,3,3호선,0500,잠원,02-6110-3381
01,수도권,S1,3,3호선,0048,고속터미널,02-6110-3391
01,수도권,S1,3,3호선,0068,교대,02-6110-3401
01,수도권,S1,3,3호선,0106,남부터미널,02-6110-3411
01,수도권,S1,3,3호선,0400,양재,02-6110-3421
01,수도권,S1,3,3호선,0193,매봉,02-6110-3431
01,수도권,S1,3,3호선,0142,도곡,02-6110-3441
01,수도권,S1,3,3호선,0136,대치,02-6110-3451
01,수도권,S1,3,3호선,0583,학여울,02-6110-3461
01,수도권,S1,3,3호선,0135,대청,02-6110-3471
01,수도권,S1,3,3호선,0494,일원,02-6110-3481
01,수도권,S1,3,3호선,0337,수서,02-6110-3491
01,수도권,S1,3,3호선,0003,가락시장,02-6110-3501
01,수도권,S1,3,3호선,0043,경찰병원,02-6110-3511
01,수도권,S1,3,3호선,0426,오금,02-6110-3521
01,수도권,NU,4,4호선,1355,진접,02-6110-1961
01,수도권,NU,4,4호선,1354,오남,02-6110-1921
01,수도권,NU,4,4호선,1353,별내별가람,02-6110-1916
01,수도권,S1,4,4호선,0125,불암산,02-6110-4091
01,수도권,S1,4,4호선,0272,상계,02-6110-4101
01,수도권,S1,4,4호선,0115,노원,02-6110-4111
01,수도권,S1,4,4호선,0541,창동,02-6110-4121
01,수도권,S1,4,4호선,0380,쌍문,02-6110-4131
01,수도권,S1,4,4호선,0340,수유,02-6110-4141
01,수도권,S1,4,4호선,0211,미아,02-6110-4151
01,수도권,S1,4,4호선,0212,미아사거리,02-6110-4161
01,수도권,S1,4,4호선,0096,길음,02-6110-4171
01,수도권,S1,4,4호선,0315,성신여대입구,02-6110-4181
01,수도권,S1,4,4호선,0587,한성대입구,02-6110-4191
01,수도권,S1,4,4호선,0594,혜화,02-6110-4201
01,수도권,S1,4,4호선,0155,동대문,02-6110-4211
01,수도권,S1,4,4호선,0156,동대문역사문화공원,02-6110-4221
01,수도권,S1,4,4호선,0563,충무로,02-6110-4231
01,수도권,S1,4,4호선,0197,명동,02-6110-4241
01,수도권,S1,4,4호선,0607,회현,02-6110-4251
01,수도권,S1,4,4호선,0296,서울역,02-6110-4261
01,수도권,S1,4,4호선,0343,숙대입구,02-6110-4271
01,수도권,S1,4,4호선,0263,삼각지,02-6110-4281
01,수도권,S1,4,4호선,0369,신용산,02-6110-4291
01,수도권,S1,4,4호선,0477,이촌,02-6110-4301
01,수도권,S1,4,4호선,0167,동작,02-6110-4311
01,수도권,S1,4,4호선,0560,총신대입구,02-6110-4321
01,수도권,S1,4,4호선,0257,사당,02-6110-4331
01,수도권,S1,4,4호선,0110,남태령,02-6110-4341
01,수도권,KR,4,4호선,0509,정부과천청사,02-502-7067
01,수도권,KR,4,4호선,0480,인덕원,031-422-7788
01,수도권,KR,4,4호선,0260,산본,031-391-7788
01,수도권,KR,4,4호선,0335,수리산,031-391-7763
01,수도권,KR,4,4호선,0214,반월,031-437-7730
01,수도권,KR,4,4호선,0586,한대앞,031-406-7788
01,수도권,KR,4,4호선,0529,중앙,031-485-7788
01,수도권,KR,4,4호선,0559,초지,031-480-2788
01,수도권,KR,4,4호선,0388,안산,031-491-7790
01,수도권,KR,4,4호선,0352,능길,031-491-7787
01,수도권,KR,4,4호선,0510,정왕,031-319-7787
01,수도권,S1,5,5호선,0221,방화,02-6311-5101
01,수도권,S1,5,5호선,0029,개화산,02-6311-5111
01,수도권,S1,5,5호선,0099,김포공항,02-6311-5121
01,수도권,S1,5,5호선,0330,송정,02-6311-5131
01,수도권,S1,5,5호선,0177,마곡,02-6311-5141
01,수도권,S1,5,5호선,0217,발산,02-6311-5151
01,수도권,S1,5,5호선,0449,우장산,02-6311-5161
01,수도권,S1,5,5호선,0599,화곡,02-6311-5171
01,수도권,S1,5,5호선,0100,까치산,02-6311-5181
01,수도권,S1,5,5호선,0372,신정,02-6311-5191
01,수도권,S1,5,5호선,0203,목동,02-6311-5201
01,수도권,S1,5,5호선,0429,오목교,02-6311-5211
01,수도권,S1,5,5호선,0316,양평,02-6311-5221
01,수도권,S1,5,5호선,0421,영등포구청,02-6311-5231
01,수도권,S1,5,5호선,0422,영등포시장,02-6311-5231
01,수도권,S1,5,5호선,0351,신길,02-6311-5251
01,수도권,S1,5,5호선,0412,여의도,02-6311-5261
01,수도권,S1,5,5호선,0411,여의나루,02-6311-5271
01,수도권,S1,5,5호선,0185,마포,02-6311-5281
01,수도권,S1,5,5호선,0054,공덕,02-6311-5291
01,수도권,S1,5,5호선,0394,애오개,02-6311-5301
01,수도권,S1,5,5호선,0564,충정로,02-6311-5311
01,수도권,S1,5,5호선,0289,서대문,02-6311-5321
01,수도권,S1,5,5호선,0066,광화문,02-6311-5331
01,수도권,S1,5,5호선,0515,종로3가,02-6311-5341
01,수도권,S1,5,5호선,0465,을지로4가,02-6311-5351
01,수도권,S1,5,5호선,0156,동대문역사문화공원,02-6311-5361
01,수도권,S1,5,5호선,0549,청구,02-6311-5371
01,수도권,S1,5,5호선,0350,신금호,02-6311-5381
01,수도권,S1,5,5호선,0592,행당,02-6311-5391
01,수도권,S1,5,5호선,0441,왕십리,02-6311-5401
01,수도권,S1,5,5호선,0182,마장,02-6311-5411
01,수도권,S1,5,5호선,0124,답십리,02-6311-5421
01,수도권,S1,5,5호선,0505,장한평,02-6311-5431
01,수도권,S1,5,5호선,0082,군자,02-6311-5441
01,수도권,S1,5,5호선,0385,아차산,02-6311-5451
01,수도권,S1,5,5호선,0062,광나루,02-6311-5461
01,수도권,S1,5,5호선,0546,천호,02-6311-5471
01,수도권,S1,5,5호선,0020,강동,02-6311-5481
01,수도권,S1,5,5호선,0095,길동,02-6311-5491
01,수도권,S1,5,5호선,0086,굽은다리,02-6311-5501
01,수도권,S1,5,5호선,0198,명일,02-6311-5511
01,수도권,S1,5,5호선,0046,고덕,02-6311-5521
01,수도권,S1,5,5호선,0281,상일동,02-6311-5531
01,수도권,S1,5,5호선,0436,강일,02-6311-5611
01,수도권,S1,5,5호선,0475,미사,02-6311-5621
01,수도권,S1,5,5호선,0478,하남풍산,02-6311-5631
01,수도권,S1,5,5호선,0482,하남시청,02-6311-5641
01,수도권,S1,5,5호선,0489,하남검단산역,02-6311-5651
01,수도권,S1,5,5호선,0172,둔촌동,02-6311-5541
01,수도권,S1,5,5호선,0438,올림픽공원,02-6311-5551
01,수도권,S1,5,5호선,0219,방이,02-6311-5561
01,수도권,S1,5,5호선,0426,오금,02-6110-3521
01,수도권,S1,5,5호선,0025,개롱,02-6311-5581
01,수도권,S1,5,5호선,0030,거여,02-6311-5591
01,수도권,S1,5,5호선,0184,마천,02-6311-5601
01,수도권,S1,6,6호선,0468,응암,02-6311-6101
01,수도권,S1,6,6호선,0416,역촌,02-6311-6111
01,수도권,S1,6,6호선,0255,불광,02-6311-6121
01,수도권,S1,6,6호선,0151,독바위,02-6311-6131
01,수도권,S1,6,6호선,0418,연신내,02-6110-3211
01,수도권,S1,6,6호선,0074,구산,02-6311-6151
01,수도권,S1,6,6호선,0285,새절,02-6311-6161
01,수도권,S1,6,6호선,0532,증산,02-6311-6171
01,수도권,S1,6,6호선,0174,디지털미디어시티,02-6311-6181
01,수도권,S1,6,6호선,0462,월드컵경기장,02-6311-6191
01,수도권,S1,6,6호선,0186,마포구청,02-6311-6201
01,수도권,S1,6,6호선,0189,망원,02-6311-6211
01,수도권,S1,6,6호선,0591,합정,02-6311-6221
01,수도권,S1,6,6호선,0278,상수,02-6311-6231
01,수도권,S1,6,6호선,0067,광흥창,02-6311-6241
01,수도권,S1,6,6호선,0138,대흥,02-6311-6251
01,수도권,S1,6,6호선,0054,공덕,02-6311-5291
01,수도권,S1,6,6호선,0609,효창공원앞,02-6311-6271
01,수도권,S1,6,6호선,0263,삼각지,02-6311-6281
01,수도권,S1,6,6호선,0117,녹사평,02-6311-6291
01,수도권,S1,6,6호선,0479,이태원,02-6311-6301
01,수도권,S1,6,6호선,0584,한강진,02-6311-6311
01,수도권,S1,6,6호선,0227,버티고개,02-6311-6321
01,수도권,S1,6,6호선,0397,약수,02-6311-6331
01,수도권,S1,6,6호선,0549,청구,02-6311-5371
01,수도권,S1,6,6호선,0356,신당,02-6311-6351
01,수도권,S1,6,6호선,0161,동묘앞,02-6311-6361
01,수도권,S1,6,6호선,0542,창신,02-6311-6371
01,수도권,S1,6,6호선,0234,보문,02-6311-6381
01,수도권,S1,6,6호선,0389,안암,02-6311-6391
01,수도권,S1,6,6호선,0047,고려대,02-6311-6401
01,수도권,S1,6,6호선,0460,월곡,02-6311-6411
01,수도권,S1,6,6호선,0280,상월곡,02-6311-6421
01,수도권,S1,6,6호선,0154,돌곶이,02-6311-6431
01,수도권,S1,6,6호선,0300,석계,02-6311-6441
01,수도권,S1,6,6호선,0568,태릉입구,02-6311-7171
01,수도권,S1,6,6호선,0600,화랑대,02-6311-6461
01,수도권,S1,6,6호선,0243,봉화산,02-6311-6471
01,수도권,S1,6,6호선,0353,신내,02-6311-6481
01,수도권,S1,7,7호선,0503,장암,02-6311-7091
01,수도권,S1,7,7호선,0146,도봉산,02-6311-7101
01,수도권,S1,7,7호선,0334,수락산,02-6311-7111
01,수도권,S1,7,7호선,0180,마들,02-6311-7121
01,수도권,S1,7,7호선,0115,노원,02-6110-4211
01,수도권,S1,7,7호선,0524,중계,02-6311-7141
01,수도권,S1,7,7호선,0581,하계,02-6311-7151
01,수도권,S1,7,7호선,0055,공릉,02-6311-7161
01,수도권,S1,7,7호선,0568,태릉입구,02-6311-7171
01,수도권,S1,7,7호선,0195,먹골,02-6311-7181
01,수도권,S1,7,7호선,0530,중화,02-6311-7191
01,수도권,S1,7,7호선,0276,상봉,02-6311-7201
01,수도권,S1,7,7호선,0196,면목,02-6311-7211
01,수도권,S1,7,7호선,0256,사가정,02-6311-7221
01,수도권,S1,7,7호선,0445,용마산,02-6311-7231
01,수도권,S1,7,7호선,0525,중곡,02-6311-7241
01,수도권,S1,7,7호선,0082,군자,02-6311-5441
01,수도권,S1,7,7호선,0408,어린이대공원,02-6311-7261
01,수도권,S1,7,7호선,0031,건대입구,02-6311-7271
01,수도권,S1,7,7호선,0176,자양,02-6311-7281
01,수도권,S1,7,7호선,0550,청담,02-6311-7291
01,수도권,S1,7,7호선,0018,강남구청,02-6311-7301
01,수도권,S1,7,7호선,0582,학동,02-6311-7311
01,수도권,S1,7,7호선,0120,논현,02-6311-7321
01,수도권,S1,7,7호선,0215,반포,02-6311-7331
01,수도권,S1,7,7호선,0048,고속터미널,02-6311-7341
01,수도권,S1,7,7호선,0112,내방,02-6311-7351
01,수도권,S1,7,7호선,0560,총신대입구,02-6311-7361
01,수도권,S1,7,7호선,0107,남성,02-6311-7371
01,수도권,S1,7,7호선,0344,숭실대입구,02-6311-7381
01,수도권,S1,7,7호선,0273,상도,02-6311-7391
01,수도권,S1,7,7호선,0502,장승배기,02-6311-7401
01,수도권,S1,7,7호선,0358,신대방삼거리,02-6311-7411
01,수도권,S1,7,7호선,0232,보라매,02-6311-7421
01,수도권,S1,7,7호선,0378,신풍,02-6311-7431
01,수도권,S1,7,7호선,0130,대림,02-6311-7441
01,수도권,S1,7,7호선,0103,남구로,02-6311-7451
01,수도권,S1,7,7호선,0004,가산디지털단지,02-6311-7461
01,수도권,S1,7,7호선,0547,철산,02-6311-7471
01,수도권,S1,7,7호선,0064,광명사거리,02-6311-7481
01,수도권,S1,7,7호선,0545,천왕,02-6311-7491
01,수도권,S1,7,7호선,0435,온수,02-6311-7501
01,수도권,IC,7,7호선,0101,까치울,032-451-1303
01,수도권,IC,7,7호선,0248,부천종합운동장,032-451-1313
01,수도권,IC,7,7호선,0561,춘의,032-451-1323
01,수도권,IC,7,7호선,0374,신중동,032-451-1333
01,수도권,IC,7,7호선,0247,부천시청,032-451-1343
01,수도권,IC,7,7호선,0274,상동,032-451-1353
01,수도권,IC,7,7호선,0265,삼산체육관,032-451-1363
01,수도권,IC,7,7호선,0085,굴포천,032-451-1373
01,수도권,IC,7,7호선,0250,부평구청,032-451-1383
01,수도권,IC,7,7호선,1352,산곡,032-451-1392
01,수도권,IC,7,7호선,0301,석남,032-451-1402
01,수도권,NU,8,8호선,0230,별내,02-6311-8041
01,수도권,NU,8,8호선,1376,다산,02-6311-8051
01,수도권,S1,8,8호선,1373,암사역사공원,02-6311-8091
01,수도권,S1,8,8호선,0391,암사,02-6311-8101
01,수도권,S1,8,8호선,0546,천호,02-6311-5471
01,수도권,S1,8,8호선,0021,강동구청,02-6311-8121
01,수도권,S1,8,8호선,0204,몽촌토성,02-6311-8131
01,수도권,S1,8,8호선,0497,잠실,02-6311-8141
01,수도권,S1,8,8호선,0305,석촌,02-6311-8151
01,수도권,S1,8,8호선,0332,송파,02-6311-8161
01,수도권,S1,8,8호선,0003,가락시장,02-6110-3501
01,수도권,S1,8,8호선,0208,문정,02-6311-8181
01,수도권,S1,8,8호선,0504,장지,02-6311-8191
01,수도권,S1,8,8호선,0238,복정,02-6311-8201
01,수도권,S1,8,8호선,1366,남위례,02-6311-8211
01,수도권,S1,8,8호선,0261,산성,02-6311-8221
01,수도권,S1,8,8호선,0111,남한산성입구,02-6311-8231
01,수도권,S1,8,8호선,0122,단대오거리,02-6311-8241
01,수도권,S1,8,8호선,0379,신흥,02-6311-8251
01,수도권,S1,8,8호선,0342,수진,02-6311-8261
01,수도권,S1,8,8호선,0201,모란,02-6311-8271
01,수도권,S9,9,9호선,0028,개화,02-2656-0901
01,수도권,S9,9,9호선,0099,김포공항,02-2656-0902
01,수도권,S9,9,9호선,0056,공항시장,02-2656-0903
01,수도권,S9,9,9호선,0364,신방화,02-2656-0904
01,수도권,S9,9,9호선,0178,마곡나루,02-2656-0905
01,수도권,S9,9,9호선,0405,양천향교,02-2656-0906
01,수도권,S9,9,9호선,0005,가양,02-2656-0907
01,수도권,S9,9,9호선,0531,증미,02-2656-0908
01,수도권,S9,9,9호선,0173,등촌,02-2656-0909
01,수도권,S9,9,9호선,0419,염창,02-2656-0910
01,수도권,S9,9,9호선,0362,신목동,02-2656-0911
01,수도권,S9,9,9호선,0308,선유도,02-2656-0912
01,수도권,S9,9,9호선,0126,당산,02-2656-0913
01,수도권,S9,9,9호선,0081,국회의사당,02-2656-0914
01,수도권,S9,9,9호선,0412,여의도,02-2656-0915
01,수도권,S9,9,9호선,0286,샛강,02-2656-0916
01,수도권,S9,9,9호선,0114,노량진,02-2656-0917
01,수도권,S9,9,9호선,0113,노들,02-2656-0918
01,수도권,S9,9,9호선,0610,흑석,02-2656-0919
01,수도권,S9,9,9호선,0167,동작,02-2656-0920
01,수도권,S9,9,9호선,0073,구반포,02-2656-0921
01,수도권,S9,9,9호선,0363,신반포,02-2656-0922
01,수도권,S9,9,9호선,0048,고속터미널,02-2656-0923
01,수도권,S9,9,9호선,0259,사평,02-2656-0924
01,수도권,S9,9,9호선,0354,신논현,02-2656-0925
01,수도권,S9,9,9호선,0410,언주,02-2656-0926
01,수도권,S9,9,9호선,0309,선정릉,02-2656-0927
01,수도권,S9,9,9호선,0267,삼성중앙,02-2656-0928
01,수도권,S9,9,9호선,0241,봉은사,02-2656-0929
01,수도권,S9,9,9호선,0518,종합운동장,02-2656-0930
01,수도권,S9,9,9호선,1153,삼전,02-2656-0931
01,수도권,S9,9,9호선,1154,석촌고분,02-2656-0932
01,수도권,S9,9,9호선,0305,석촌,02-2656-0933
01,수도권,S9,9,9호선,1155,송파나루,02-2656-0934
01,수도권,S9,9,9호선,1156,한성백제,02-2656-0935
01,수도권,S9,9,9호선,0438,올림픽공원,02-2656-0936
01,수도권,S9,9,9호선,1157,둔촌오륜,02-2656-0937
01,수도권,S9,9,9호선,1158,중앙보훈병원,02-2656-0938
